UNIT,ID,X,Y,Z,SUFFIX,Prism,code,CL,Length,Width
UNIT,264,57.685,64.527,1195.624,0,0,LITHIC,1a,48.3,56.6
UNIT,264,57.695,64.567,1195.627,1,0,LITHIC,1a,48.3,56.6
UNIT,268,57.921,64.429,1195.636,0,0,LITHIC,1a,50.2,35.5
UNIT,268,57.941,64.473,1195.64,1,0,LITHIC,1a,50.2,35.5
UNIT,276,58.118,64.441,1195.589,0,0,LITHIC,1a,39.2,31.6
UNIT,276,58.106,64.494,1195.589,1,0,LITHIC,1a,39.2,31.6
UNIT,291,58.695,64.389,1195.728,0,0,LITHIC,1a,51.1,28.2
UNIT,291,58.646,64.417,1195.715,1,0,LITHIC,1a,51.1,28.2
UNIT,295,58.671,64.009,1195.706,1,0,LITHIC,1a,42.0,30.4
UNIT,295,58.663,63.971,1195.703,0,0,LITHIC,1a,42.0,30.4
UNIT,298,58.628,63.586,1195.654,0,0,LITHIC,1a,47.8,33.7
UNIT,298,58.604,63.632,1195.663,1,0,LITHIC,1a,47.8,33.7
UNIT,299,58.763,63.617,1195.656,1,0,LITHIC,1a,49.9,37.1
UNIT,299,58.729,63.584,1195.648,0,0,LITHIC,1a,49.9,37.1
UNIT,304,58.985,63.544,1195.65,0,0,LITHIC,1a,63.9,51.2
UNIT,304,59.053,63.548,1195.651,1,0,LITHIC,1a,63.9,51.2
UNIT,310,59.203,63.08,1195.594,0,0,LITHIC,1a,53.7,31.6
UNIT,310,59.146,63.086,1195.584,1,0,LITHIC,1a,53.7,31.6
UNIT,311,58.303,62.749,1195.549,0,0,LITHIC,1a,63.1,58.0
UNIT,311,58.386,62.645,1195.561,1,0,LITHIC,1a,63.1,58.0
UNIT,322,59.152,62.049,1195.577,0,0,LITHIC,1a,48.3,30.8
UNIT,322,59.11,62.075,1195.567,1,0,LITHIC,1a,48.3,30.8
UNIT,336,59.419,62.74,1195.637,0,0,LITHIC,1a,38.9,21.6
UNIT,336,59.408,62.768,1195.633,1,0,LITHIC,1a,38.9,21.6
UNIT,342,59.635,62.066,1195.656,0,0,LITHIC,1a,37.4,30.1
UNIT,342,59.675,62.121,1195.645,1,0,LITHIC,1a,37.4,30.1
UNIT,349,59.969,62.525,1195.689,1,0,LITHIC,1a,33.6,24.8
UNIT,349,60.002,62.502,1195.69,0,0,LITHIC,1a,33.6,24.8
UNIT,350,60.117,62.375,1195.705,1,0.050000001,LITHIC,1a,33.2,24.9
UNIT,350,60.066,62.328,1195.697,0,0,LITHIC,1a,33.2,24.9
UNIT,357,59.597,61.548,1195.655,0,0,LITHIC,1a,40.2,30.8
UNIT,357,59.57,61.509,1195.641,1,0,LITHIC,1a,40.2,30.8
UNIT,358,59.591,61.591,1195.633,1,0,LITHIC,1a,40.9,20.6
UNIT,358,59.647,61.59,1195.647,0,0,LITHIC,1a,40.9,20.6
UNIT,360,59.739,61.522,1195.683,0,0,LITHIC,1a,34.2,29.5
UNIT,360,59.734,61.515,1195.667,1,0,LITHIC,1a,34.2,29.5
UNIT,361,59.771,61.572,1195.66,0,0,LITHIC,1a,22.4,15.5
UNIT,361,59.799,61.584,1195.656,1,0,LITHIC,1a,22.4,15.5
UNIT,366,60.033,61.579,1195.679,0,0,LITHIC,1a,74.9,50.0
UNIT,366,60.066,61.601,1195.677,1,0,LITHIC,1a,74.9,50.0
UNIT,370,60.384,61.209,1195.679,1,0,LITHIC,1a,32.7,16.8
UNIT,370,60.397,61.234,1195.689,0,0,LITHIC,1a,32.7,16.8
UNIT,372,60.482,61.041,1195.704,1,0,LITHIC,1a,47.3,42.3
UNIT,372,60.464,60.999,1195.704,0,0,LITHIC,1a,47.3,42.3
UNIT,374,59.457,60.708,1195.626,0,0,LITHIC,1a,49.7,37.3
UNIT,374,59.438,60.757,1195.62,1,0,LITHIC,1a,49.7,37.3
UNIT,376,59.785,60.775,1195.647,0,0,LITHIC,1a,33.0,17.5
UNIT,376,59.751,60.763,1195.641,1,0,LITHIC,1a,33.0,17.5
UNIT,379,59.871,60.685,1195.681,0,0,LITHIC,1a,36.7,33.5
UNIT,379,59.831,60.714,1195.656,1,0,LITHIC,1a,36.7,33.5
UNIT,380,59.847,60.794,1195.658,0,0,LITHIC,1a,61.1,40.8
UNIT,380,59.809,60.738,1195.643,1,0,LITHIC,1a,61.1,40.8
UNIT,392,60.058,60.679,1195.652,0,0,LITHIC,1a,35.8,23.2
UNIT,392,60.028,60.7,1195.637,1,0,LITHIC,1a,35.8,23.2
UNIT,398,60.206,60.649,1195.685,0,0,LITHIC,1a,60.5,40.3
UNIT,398,60.216,60.7,1195.679,1,0,LITHIC,1a,60.5,40.3
UNIT,405,60.256,60.61,1195.655,0,0,LITHIC,1a,44.7,39.3
UNIT,405,60.157,60.619,1195.661,1,0,LITHIC,1a,44.7,39.3
UNIT,408,60.272,60.519,1195.698,0,0,LITHIC,1a,78.3,48.9
UNIT,408,60.31,60.452,1195.701,1,0,LITHIC,1a,78.3,48.9
UNIT,411,60.326,60.556,1195.678,0,0,LITHIC,1a,41.1,35.3
UNIT,411,60.281,60.552,1195.669,1,0,LITHIC,1a,41.1,35.3
UNIT,413,60.389,60.4,1195.729,0,0,LITHIC,1a,57.5,37.5
UNIT,413,60.402,60.348,1195.713,1,0,LITHIC,1a,57.5,37.5
UNIT,418,60.507,60.503,1195.691,1,0,LITHIC,1a,23.9,11.7
UNIT,418,60.489,60.504,1195.693,0,0,LITHIC,1a,23.9,11.7
UNIT,419,60.492,60.434,1195.711,0,0,LITHIC,1a,34.5,28.2
UNIT,419,60.513,60.443,1195.707,1,0,LITHIC,1a,34.5,28.2
UNIT,423,60.817,60.238,1195.728,0,0,LITHIC,1a,37.2,29.2
UNIT,423,60.827,60.267,1195.72,1,0,LITHIC,1a,37.2,29.2
UNIT,435,60.302,59.865,1195.69,0,0,LITHIC,1a,42.8,24.8
UNIT,435,60.316,59.853,1195.694,1,0,LITHIC,1a,42.8,24.8
UNIT,451,60.371,59.326,1195.652,0,0,LITHIC,1a,62.6,36.6
UNIT,451,60.389,59.376,1195.649,1,0,LITHIC,1a,62.6,36.6
UNIT,454,60.52,59.294,1195.66,0,0,LITHIC,1a,120.0,85.9
UNIT,454,60.399,59.332,1195.638,1,0,LITHIC,1a,120.0,85.9
UNIT,463,60.846,59.113,1195.684,1,0,LITHIC,1a,47.1,19.6
UNIT,463,60.793,59.166,1195.699,0,0,LITHIC,1a,47.1,19.6
UNIT,470,61.417,59.072,1195.716,0,0,LITHIC,1a,37.0,17.3
UNIT,470,61.447,59.066,1195.712,1,0,LITHIC,1a,37.0,17.3
UNIT,483,58.094,63.431,1195.607,1,0,LITHIC,1a,51.8,21.1
UNIT,483,58.12,63.47,1195.627,0,0,LITHIC,1a,51.8,21.1
UNIT,488,58.303,63.064,1195.59,0,0,LITHIC,1a,26.6,32.6
UNIT,488,58.324,63.083,1195.587,1,0,LITHIC,1a,26.6,32.6
UNIT,490,58.334,63.172,1195.596,1,0,LITHIC,1a,52.0,25.5
UNIT,490,58.271,63.188,1195.603,0,0,LITHIC,1a,52.0,25.5
UNIT,503,58.707,63.197,1195.609,0,0,LITHIC,1a,27.7,8.2
UNIT,503,58.716,63.181,1195.604,1,0,LITHIC,1a,27.7,8.2
UNIT,504,58.126,63.466,1195.607,0,0,LITHIC,1a,22.6,8.2
UNIT,504,58.122,63.444,1195.587,1,0,LITHIC,1a,22.6,8.2
UNIT,540,58.215,62.173,1195.571,0,0,LITHIC,1a,26.3,18.7
UNIT,540,58.242,62.177,1195.57,1,0,LITHIC,1a,26.3,18.7
UNIT,575,58.592,61.756,1195.586,0,0,LITHIC,1a,59.9,32.9
UNIT,575,58.617,61.792,1195.579,1,0,LITHIC,1a,59.9,32.9
UNIT,580,58.868,61.722,1195.581,1,0,LITHIC,1a,46.9,37.3
UNIT,580,58.836,61.703,1195.586,0,0,LITHIC,1a,46.9,37.3
UNIT,601,58.457,61.189,1195.55,1,0,LITHIC,1a,55.7,39.2
UNIT,601,58.432,61.146,1195.552,0,0,LITHIC,1a,55.7,39.2
UNIT,609,58.942,61.577,1195.581,1,0,LITHIC,1a,49.5,25.2
UNIT,609,58.953,61.535,1195.583,0,0,LITHIC,1a,49.5,25.2
UNIT,616,59.043,61.364,1195.584,0,0,LITHIC,1a,48.4,37.4
UNIT,616,59.069,61.346,1195.577,1,0,LITHIC,1a,48.4,37.4
UNIT,621,58.973,61.164,1195.561,0,0,LITHIC,1a,50.5,26.8
UNIT,621,58.995,61.205,1195.565,1,0,LITHIC,1a,50.5,26.8
UNIT,624,58.638,61.013,1195.573,0,0,LITHIC,1a,50.5,21.0
UNIT,624,58.733,60.987,1195.544,1,0,LITHIC,1a,50.5,21.0
UNIT,637,59.032,60.844,1195.607,0,0,LITHIC,1a,80.9,44.2
UNIT,637,59.004,60.783,1195.603,1,0,LITHIC,1a,80.9,44.2
UNIT,639,59.042,60.758,1195.57,0,0,LITHIC,1a,56.9,32.4
UNIT,639,59.08,60.786,1195.562,1,0,LITHIC,1a,56.9,32.4
UNIT,642,59.244,60.888,1195.597,0,0,LITHIC,1a,75.4,48.8
UNIT,642,59.231,60.831,1195.559,1,0,LITHIC,1a,75.4,48.8
UNIT,645,59.337,60.807,1195.605,0,0,LITHIC,1a,64.4,38.6
UNIT,645,59.32,60.865,1195.587,1,0,LITHIC,1a,64.4,38.6
UNIT,646,59.409,60.874,1195.595,1,0,LITHIC,1a,40.7,26.8
UNIT,646,59.375,60.848,1195.59,0,0,LITHIC,1a,40.7,26.8
UNIT,647,59.596,61.041,1195.575,0,0,LITHIC,1a,48.7,35.2
UNIT,647,59.56,61.075,1195.552,1,0,LITHIC,1a,48.7,35.2
UNIT,651,58.127,60.488,1195.586,0,0,LITHIC,1a,48.6,24.9
UNIT,651,58.236,60.465,1195.568,1,0,LITHIC,1a,48.6,24.9
UNIT,665,57.704,60.021,1195.568,1,0,LITHIC,1a,58.1,52.1
UNIT,665,57.659,60.045,1195.579,0,0,LITHIC,1a,58.1,52.1
UNIT,670,57.839,60.023,1195.568,0,0,LITHIC,1a,40.7,22.2
UNIT,670,57.851,59.986,1195.563,1,0,LITHIC,1a,40.7,22.2
UNIT,671,57.825,59.945,1195.565,0,0,LITHIC,1a,55.2,32.3
UNIT,671,57.869,59.977,1195.569,1,0,LITHIC,1a,55.2,32.3
UNIT,673,57.8,59.87,1195.571,0,0,LITHIC,1a,51.9,33.1
UNIT,673,57.831,59.908,1195.566,1,0,LITHIC,1a,51.9,33.1
UNIT,689,58.498,60.035,1195.569,0,0,LITHIC,1a,87.5,76.3
UNIT,689,58.416,59.994,1195.557,1,0,LITHIC,1a,87.5,76.3
UNIT,691,58.691,60.011,1195.574,0,0,LITHIC,1a,46.4,31.0
UNIT,691,58.705,59.966,1195.579,1,0,LITHIC,1a,46.4,31.0
UNIT,693,58.879,59.963,1195.565,1,0,LITHIC,1a,33.5,16.4
UNIT,693,58.904,59.989,1195.568,0,0,LITHIC,1a,33.5,16.4
UNIT,701,59.103,59.782,1195.594,0,0,LITHIC,1a,51.8,24.7
UNIT,701,59.162,59.789,1195.6,1,0,LITHIC,1a,51.8,24.7
UNIT,702,59.234,59.758,1195.608,0,0,LITHIC,1a,66.8,56.1
UNIT,702,59.221,59.819,1195.59,1,0,LITHIC,1a,66.8,56.1
UNIT,705,59.389,59.838,1195.588,0,0,LITHIC,1a,61.4,37.8
UNIT,705,59.425,59.813,1195.603,1,0,LITHIC,1a,61.4,37.8
UNIT,716,59.508,59.59,1195.613,0,0,LITHIC,1a,43.9,32.5
UNIT,716,59.552,59.613,1195.609,1,0,LITHIC,1a,43.9,32.5
UNIT,720,59.568,59.488,1195.624,0,0,LITHIC,1a,59.7,32.6
UNIT,720,59.817,59.381,1195.572,1,0,LITHIC,1a,59.7,32.6
UNIT,721,59.857,59.417,1195.615,0,0,LITHIC,1a,43.0,37.8
UNIT,721,59.857,59.379,1195.604,1,0,LITHIC,1a,43.0,37.8
UNIT,727,57.681,59.331,1195.613,0,0,LITHIC,1a,26.6,16.0
